episode: 1320/10000, score: -108.0, e: 0.01 
episode: 1330/10000, score: -108.0, e: 0.01 
episode: 1340/10000, score: -108.0, e: 0.01 
episode: 1350/10000, score: -108.0, e: 0.01 
episode: 1360/10000, score: -108.0, e: 0.01 
episode: 1370/10000, score: -108.0, e: 0.01 
episode: 1380/10000, score: -108.0, e: 0.01 
episode: 1390/10000, score: -108.0, e: 0.01 
episode: 1400/10000, score: -108.0, e: 0.01 
episode: 1410/10000, score: -108.0, e: 0.01 
episode: 1420/10000, score: -108.0, e: 0.01 
episode: 1430/10000, score: -108.0, e: 0.01 
episode: 1440/10000, score: -108.0, e: 0.01 
episode: 1450/10000, score: -108.0, e: 0.01 
episode: 1460/10000, score: -108.0, e: 0.01 
episode: 1470/10000, score: -108.0, e: 0.01 
episode: 1480/10000, score: -108.0, e: 0.01 
episode: 1490/10000, score: -108.0, e: 0.01 
episode: 1500/10000, score: -108.0, e: 0.01 
episode: 1510/10000, score: -108.0, e: 0.01 
episode: 1520/10000, score: -108.0, e: 0.01 
episode: 1530/10000, score: -108.0, e: 0.01 
episode: 1540/10000, score: -108.0, e: 0.01 
episode: 1550/10000, score: -108.0, e: 0.01 
episode: 1560/10000, score: -108.0, e: 0.01 
episode: 1570/10000, score: -108.0, e: 0.01 
episode: 1580/10000, score: -108.0, e: 0.01 
episode: 1590/10000, score: -108.0, e: 0.01 
episode: 1600/10000, score: -108.0, e: 0.01 
episode: 1610/10000, score: -108.0, e: 0.01 
episode: 1620/10000, score: -108.0, e: 0.01 
episode: 1630/10000, score: -108.0, e: 0.01 
episode: 1640/10000, score: -108.0, e: 0.01 
episode: 1650/10000, score: -108.0, e: 0.01 
episode: 1660/10000, score: -108.0, e: 0.01 
episode: 1670/10000, score: -108.0, e: 0.01 
episode: 1680/10000, score: -108.0, e: 0.01 
episode: 1690/10000, score: -108.0, e: 0.01 
episode: 1700/10000, score: -108.0, e: 0.01 
episode: 1710/10000, score: -108.0, e: 0.01 
episode: 1720/10000, score: -108.0, e: 0.01 
episode: 1730/10000, score: -108.0, e: 0.01 
episode: 1740/10000, score: -108.0, e: 0.01 
episode: 1750/10000, score: -104.0, e: 0.01 
episode: 1760/10000, score: -108.0, e: 0.01 
episode: 1770/10000, score: -108.0, e: 0.01 
episode: 1780/10000, score: -108.0, e: 0.01 
episode: 1790/10000, score: -108.0, e: 0.01 
episode: 1800/10000, score: -108.0, e: 0.01 
episode: 1810/10000, score: -108.0, e: 0.01 
episode: 1820/10000, score: -108.0, e: 0.01 
episode: 1830/10000, score: -108.0, e: 0.01 
